Pinyin	Bopomofo	IPA	Wade-Giles	GR	Simp.GR	MPS2	Tongyong	Yale
ǒu	ㄡˇ	oʊ˨˩˦	ou³	oou	oou	ǒu	ǒu	ǒu
òu	ㄡˋ	oʊ˥˩	ou⁴	ow	ouh	òu	òu	òu
ou	˙ㄡ	oʊ	ou⁵	.ou	'ou	ou	o̊u	ou
pā	ㄆㄚ	pʰa˥	p'a¹	pa	pa	pā	pa	pā
pá	ㄆㄚˊ	pʰa˧˥	p'a²	par	par	pá	pá	pá
pǎ	ㄆㄚˇ	pʰa˨˩˦	p'a³	paa	paa	pǎ	pǎ	pǎ
pà	ㄆㄚˋ	pʰa˥˩	p'a⁴	pah	pah	pà	pà	pà
pa	˙ㄆㄚ	pʰa	p'a⁵	.pa	'pa	pa	på	pa
pāi	ㄆㄞ	pʰaɪ˥	p'ai¹	pai	pai	pāi	pai	pāi
pái	ㄆㄞˊ	pʰaɪ˧˥	p'ai²	pair	pair	pái	pái	pái
pǎi	ㄆㄞˇ	pʰaɪ˨˩˦	p'ai³	pae	paii	pǎi	pǎi	pǎi
pài	ㄆㄞˋ	pʰaɪ˥˩	p'ai⁴	pay	paih	pài	pài	pài
pai	˙ㄆㄞ	pʰaɪ	p'ai⁵	.pai	'pai	pai	påi	pai
pān	ㄆㄢ	pʰan˥	p'an¹	pan	pan	pān	pan	pān
pán	ㄆㄢˊ	pʰan˧˥	p'an²	parn	parn	pán	pán	pán
pǎn	ㄆㄢˇ	pʰan˨˩˦	p'an³	paan	paan	pǎn	pǎn	pǎn
pàn	ㄆㄢˋ	pʰan˥˩	p'an⁴	pann	pahn	pàn	pàn	pàn
pan	˙ㄆㄢ	pʰan	p'an⁵	.pan	'pan	pan	pån	pan
pāng	ㄆㄤ	pʰɑŋ˥	p'ang¹	pang	pang	pāng	pang	pāng
páng	ㄆㄤˊ	pʰɑŋ˧˥	p'ang²	parng	parng	páng	páng	páng
pǎng	ㄆㄤˇ	pʰɑŋ˨˩˦	p'ang³	paang	paang	pǎng	pǎng	pǎng
pàng	ㄆㄤˋ	pʰɑŋ˥˩	p'ang⁴	panq	pahng	pàng	pàng	pàng
pang	˙ㄆㄤ	pʰɑŋ	p'ang⁵	.pang	'pang	pang	pång	pang
pāo	ㄆㄠ	pʰɑʊ˥	p'ao¹	pau	pau	pāu	pao	pāu
páo	ㄆㄠˊ	pʰɑʊ˧˥	p'ao²	paur	paur	páu	páo	páu
pǎo	ㄆㄠˇ	pʰɑʊ˨˩˦	p'ao³	pao	paau	pǎu	pǎo	pǎu
pào	ㄆㄠˋ	pʰɑʊ˥˩	p'ao⁴	paw	pauh	pàu	pào	pàu
pao	˙ㄆㄠ	pʰɑʊ	p'ao⁵	.pau	'pau	pau	påo	pau
pēi	ㄆㄟ	pʰeɪ˥	p'ei¹	pei	pei	pēi	pei	pēi
péi	ㄆㄟˊ	pʰeɪ˧˥	p'ei²	peir	peir	péi	péi	péi
pěi	ㄆㄟˇ	pʰeɪ˨˩˦	p'ei³	peei	peii	pěi	pěi	pěi
pèi	ㄆㄟˋ	pʰeɪ˥˩	p'ei⁴	pey	peih	pèi	pèi	pèi
pei	˙ㄆㄟ	pʰeɪ	p'ei⁵	.pei	'pei	pei	pe̊i	pei
pēn	ㄆㄣ	pʰən˥	p'en¹	pen	pen	pēn	pen	pēn
pén	ㄆㄣˊ	pʰən˧˥	p'en²	pern	pern	pén	pén	pén
pěn	ㄆㄣˇ	pʰən˨˩˦	p'en³	peen	peen	pěn	pěn	pěn
pèn	ㄆㄣˋ	pʰən˥˩	p'en⁴	penn	pehn	pèn	pèn	pèn
pen	˙ㄆㄣ	pʰən	p'en⁵	.pen	'pen	pen	pe̊n	pen
pēng	ㄆㄥ	pʰɤŋ˥	p'eng¹	peng	peng	pēng	peng	pēng
péng	ㄆㄥˊ	pʰɤŋ˧˥	p'eng²	perng	perng	péng	péng	péng
pěng	ㄆㄥˇ	pʰɤŋ˨˩˦	p'eng³	peeng	peeng	pěng	pěng	pěng
pèng	ㄆㄥˋ	pʰɤŋ˥˩	p'eng⁴	penq	pehng	pèng	pèng	pèng
peng	˙ㄆㄥ	pʰɤŋ	p'eng⁵	.peng	'peng	peng	pe̊ng	peng
pī	ㄆㄧ	pʰi˥	p'i¹	pi	pi	pī	pi	pī
pí	ㄆㄧˊ	pʰi˧˥	p'i²	pyi	pir	pí	pí	pí
pǐ	ㄆㄧˇ	pʰi˨˩˦	p'i³	pii	pii	pǐ	pǐ	pǐ
pì	ㄆㄧˋ	pʰi˥˩	p'i⁴	pih	pih	pì	pì	pì
pi	˙ㄆㄧ	pʰi	p'i⁵	.pi	'pi	pi	pi̊	pi
piān	ㄆㄧㄢ	pʰjɛn˥	p'ien¹	pian	pian	piān	pian	pyān
pián	ㄆㄧㄢˊ	pʰjɛn˧˥	p'ien²	pyan	piarn	pián	pián	pyán
piǎn	ㄆㄧㄢˇ	pʰjɛn˨˩˦	p'ien³	pean	piaan	piǎn	piǎn	pyǎn
piàn	ㄆㄧㄢˋ	pʰjɛn˥˩	p'ien⁴	piann	piahn	piàn	piàn	pyàn
pian	˙ㄆㄧㄢ	pʰjɛn	p'ien⁵	.pian	'pian	pian	piån	pyan
piāo	ㄆㄧㄠ	pʰjɑʊ˥	p'iao¹	piau	piau	piāu	piao	pyāu
piáo	ㄆㄧㄠˊ	pʰjɑʊ˧˥	p'iao²	pyau	piaur	piáu	piáo	pyáu
piǎo	ㄆㄧㄠˇ	pʰjɑʊ˨˩˦	p'iao³	peau	piaau	piǎu	piǎo	pyǎu
piào	ㄆㄧㄠˋ	pʰjɑʊ˥˩	p'iao⁴	piaw	piauh	piàu	piào	pyàu
piao	˙ㄆㄧㄠ	pʰjɑʊ	p'iao⁵	.piau	'piau	piau	piåo	pyau
piē	ㄆㄧㄝ	pʰjɛ˥	p'ieh¹	pie	pie	piē	pie	pyē
pié	ㄆㄧㄝˊ	pʰjɛ˧˥	p'ieh²	pye	pier	pié	pié	pyé
piě	ㄆㄧㄝˇ	pʰjɛ˨˩˦	p'ieh³	piee	piee	piě	piě	pyě
piè	ㄆㄧㄝˋ	pʰjɛ˥˩	p'ieh⁴	pieh	pieh	piè	piè	pyè
pie	˙ㄆㄧㄝ	pʰjɛ	p'ieh⁵	.pie	'pie	pie	pie̊	pye
pīn	ㄆㄧㄣ	pʰin˥	p'in¹	pin	pin	pīn	pin	pīn
pín	ㄆㄧㄣˊ	pʰin˧˥	p'in²	pyn	pirn	pín	pín	pín
