Pinyin	Bopomofo	IPA	Wade-Giles	GR	Simp.GR	MPS2	Tongyong	Yale
réng	ㄖㄥˊ	ɻɤŋ˧˥	jeng²	reng	rerng	réng	réng	réng
rěng	ㄖㄥˇ	ɻɤŋ˨˩˦	jeng³	reeng	reeng	rěng	rěng	rěng
rèng	ㄖㄥˋ	ɻɤŋ˥˩	jeng⁴	renq	rehng	rèng	rèng	rèng
reng	˙ㄖㄥ	ɻɤŋ	jeng⁵	.rheng	'reng	reng	re̊ng	reng
rī	ㄖ	ɻɻ̍˥	jih¹	rhy	ry	r̀	rih	r̄
rí	ㄖˊ	ɻɻ̍˧˥	jih²	ry	ryr	ŕ	ríh	ŕ
rǐ	ㄖˇ	ɻɻ̍˨˩˦	jih³	ryy	ryy	ř	rǐh	ř
rì	ㄖˋ	ɻɻ̍˥˩	jih⁴	ryh	ryh	r̄	rìh	r̀
ri	˙ㄖ	ɻɻ̍	jih⁵	.rhy	'ry	r	ri̊h	r
rōng	ㄖㄨㄥ	ɻʊŋ˥	jung¹	rhong	rung	rūng	rong	rūng
róng	ㄖㄨㄥˊ	ɻʊŋ˧˥	jung²	rong	rurng	rúng	róng	rúng
rǒng	ㄖㄨㄥˇ	ɻʊŋ˨˩˦	jung³	roong	ruung	rǔng	rǒng	rǔng
ròng	ㄖㄨㄥˋ	ɻʊŋ˥˩	jung⁴	ronq	ruhng	rùng	ròng	rùng
rong	˙ㄖㄨㄥ	ɻʊŋ	jung⁵	.rhong	'rong	rung	ro̊ng	rung
rōu	ㄖㄡ	ɻoʊ˥	jou¹	rhou	rou	rōu	rou	rōu
róu	ㄖㄡˊ	ɻoʊ˧˥	jou²	rou	rour	róu	róu	róu
rǒu	ㄖㄡˇ	ɻoʊ˨˩˦	jou³	roou	roou	rǒu	rǒu	rǒu
ròu	ㄖㄡˋ	ɻoʊ˥˩	jou⁴	row	rouh	ròu	ròu	ròu
rou	˙ㄖㄡ	ɻoʊ	jou⁵	.rhou	'rou	rou	ro̊u	rou
rū	ㄖㄨ	ɻu˥	ju¹	rhu	ru	rū	ru	rū
rú	ㄖㄨˊ	ɻu˧˥	ju²	ru	rur	rú	rú	rú
rǔ	ㄖㄨˇ	ɻu˨˩˦	ju³	ruu	ruu	rǔ	rǔ	rǔ
rù	ㄖㄨˋ	ɻu˥˩	ju⁴	ruh	ruh	rù	rù	rù
ru	˙ㄖㄨ	ɻu	ju⁵	.rhu	'ru	ru	rů	ru
ruān	ㄖㄨㄢ	ɻwan˥	juan¹	rhuan	ruan	ruān	ruan	rwān
ruán	ㄖㄨㄢˊ	ɻwan˧˥	juan²	ruan	ruarn	ruán	ruán	rwán
ruǎn	ㄖㄨㄢˇ	ɻwan˨˩˦	juan³	roan	ruaan	ruǎn	ruǎn	rwǎn
ruàn	ㄖㄨㄢˋ	ɻwan˥˩	juan⁴	ruann	ruahn	ruàn	ruàn	rwàn
ruan	˙ㄖㄨㄢ	ɻwan	juan⁵	.rhuan	'ruan	ruan	ruån	rwan
ruī	ㄖㄨㄟ	ɻweɪ˥	jui¹	rhuei	rui	ruēi	ruei	rwēi
ruí	ㄖㄨㄟˊ	ɻweɪ˧˥	jui²	ruei	ruir	ruéi	ruéi	rwéi
ruǐ	ㄖㄨㄟˇ	ɻweɪ˨˩˦	jui³	roei	ruii	ruěi	ruěi	rwěi
ruì	ㄖㄨㄟˋ	ɻweɪ˥˩	jui⁴	ruey	ruih	ruèi	ruèi	rwèi
rui	˙ㄖㄨㄟ	ɻweɪ	jui⁵	.rhuei	'rui	ruei	rue̊i	rwei
rūn	ㄖㄨㄣ	ɻwən˥	jun¹	rhuen	run	ruēn	run	rwūn
rún	ㄖㄨㄣˊ	ɻwən˧˥	jun²	ruen	rurn	ruén	rún	rwún
rǔn	ㄖㄨㄣˇ	ɻwən˨˩˦	jun³	roen	ruun	ruěn	rǔn	rwǔn
rùn	ㄖㄨㄣˋ	ɻwən˥˩	jun⁴	ruenn	ruhn	ruèn	rùn	rwùn
run	˙ㄖㄨㄣ	ɻwən	jun⁵	.rhuen	'run	ruen	růn	rwun
ruō	ㄖㄨㄛ	ɻwo˥	jo¹	rhuo	ruo	ruō	ruo	rwō
ruó	ㄖㄨㄛˊ	ɻwo˧˥	jo²	ruo	ruor	ruó	ruó	rwó
ruǒ	ㄖㄨㄛˇ	ɻwo˨˩˦	jo³	ruoo	ruoo	ruǒ	ruǒ	rwǒ
ruò	ㄖㄨㄛˋ	ɻwo˥˩	jo⁴	ruoh	ruoh	ruò	ruò	rwò
ruo	˙ㄖㄨㄛ	ɻwo	jo⁵	.rhuo	'ruo	ruo	ruo̊	rwo
sā	ㄙㄚ	sa˥	sa¹	sa	sa	sā	sa	sā
sá	ㄙㄚˊ	sa˧˥	sa²	sar	sar	sá	sá	sá
sǎ	ㄙㄚˇ	sa˨˩˦	sa³	saa	saa	sǎ	sǎ	sǎ
sà	ㄙㄚˋ	sa˥˩	sa⁴	sah	sah	sà	sà	sà
sa	˙ㄙㄚ	sa	sa⁵	.sa	'sa	sa	så	sa
sāi	ㄙㄞ	saɪ˥	sai¹	sai	sai	sāi	sai	sāi
sái	ㄙㄞˊ	saɪ˧˥	sai²	sair	sair	sái	sái	sái
sǎi	ㄙㄞˇ	saɪ˨˩˦	sai³	sae	saii	sǎi	sǎi	sǎi
sài	ㄙㄞˋ	saɪ˥˩	sai⁴	say	saih	sài	sài	sài
sai	˙ㄙㄞ	saɪ	sai⁵	.sai	'sai	sai	såi	sai
sān	ㄙㄢ	san˥	san¹	san	san	sān	san	sān
sán	ㄙㄢˊ	san˧˥	san²	sarn	sarn	sán	sán	sán
sǎn	ㄙㄢˇ	san˨˩˦	san³	saan	saan	sǎn	sǎn	sǎn
sàn	ㄙㄢˋ	san˥˩	san⁴	sann	sahn	sàn	sàn	sàn
san	˙ㄙㄢ	san	san⁵	.san	'san	san	sån	san
sāng	ㄙㄤ	sɑŋ˥	sang¹	sang	sang	sāng	sang	sāng
sáng	ㄙㄤˊ	sɑŋ˧˥	sang²	sarng	sarng	sáng	sáng	sáng
sǎng	ㄙㄤˇ	sɑŋ˨˩˦	sang³	saang	saang	sǎng	sǎng	sǎng
sàng	ㄙㄤˋ	sɑŋ˥˩	sang⁴	sanq	sahng	sàng	sàng	sàng
sang	˙ㄙㄤ	sɑŋ	sang⁵	.sang	'sang	sang	sång	sang
sāo	ㄙㄠ	sɑʊ˥	sao¹	sau	sau	sāu	sao	sāu
sáo	ㄙㄠˊ	sɑʊ˧˥	sao²	saur	saur	sáu	sáo	sáu
sǎo	ㄙㄠˇ	sɑʊ˨˩˦	sao³	sao	saau	sǎu	sǎo	sǎu
sào	ㄙㄠˋ	sɑʊ˥˩	sao⁴	saw	sauh	sàu	sào	sàu
sao	˙ㄙㄠ	sɑʊ	sao⁵	.sau	'sau	sau	såo	sau
sē	ㄙㄜ	sɤ˥	se¹	se	se	sē	se	sē
sé	ㄙㄜˊ	sɤ˧˥	se²	ser	ser	sé	sé	sé
sě	ㄙㄜˇ	sɤ˨˩˦	se³	see	see	sě	sě	sě
sè	ㄙㄜˋ	sɤ˥˩	se⁴	seh	seh	sè	sè	sè
se	˙ㄙㄜ	sɤ	se⁵	.se	'se	se	se̊	se
sēn	ㄙㄣ	sən˥	sen¹	sen	sen	sēn	sen	sēn
sén	ㄙㄣˊ	sən˧˥	sen²	sern	sern	sén	sén	sén
sěn	ㄙㄣˇ	sən˨˩˦	sen³	seen	seen	sěn	sěn	sěn
sèn	ㄙㄣˋ	sən˥˩	sen⁴	senn	sehn	sèn	sèn	sèn
sen	˙ㄙㄣ	sən	sen⁵	.sen	'sen	sen	se̊n	sen
sēng	ㄙㄥ	sɤŋ˥	seng¹	seng	seng	sēng	seng	sēng
séng	ㄙㄥˊ	sɤŋ˧˥	seng²	serng	serng	séng	séng	séng
sěng	ㄙㄥˇ	sɤŋ˨˩˦	seng³	seeng	seeng	sěng	sěng	sěng
sèng	ㄙㄥˋ	sɤŋ˥˩	seng⁴	senq	sehng	sèng	sèng	sèng
seng	˙ㄙㄥ	sɤŋ	seng⁵	.seng	'seng	seng	se̊ng	seng
shā	ㄕㄚ	ʂa˥	sha¹	sha	sha	shā	sha	shā
shá	ㄕㄚˊ	ʂa˧˥	sha²	shar	shar	shá	shá	shá
shǎ	ㄕㄚˇ	ʂa˨˩˦	sha³	shaa	shaa	shǎ	shǎ	shǎ
shà	ㄕㄚˋ	ʂa˥˩	sha⁴	shah	shah	shà	shà	shà
sha	˙ㄕㄚ	ʂa	sha⁵	.sha	'sha	sha	shå	sha
shāi	ㄕㄞ	ʂaɪ˥	shai¹	shai	shai	shāi	shai	shāi
shái	ㄕㄞˊ	ʂaɪ˧˥	shai²	shair	shair	shái	shái	shái
shǎi	ㄕㄞˇ	ʂaɪ˨˩˦	shai³	shae	shaii	shǎi	shǎi	shǎi
shài	ㄕㄞˋ	ʂaɪ˥˩	shai⁴	shay	shaih	shài	shài	shài
shai	˙ㄕㄞ	ʂaɪ	shai⁵	.shai	'shai	shai	shåi	shai
shān	ㄕㄢ	ʂan˥	shan¹	shan	shan	shān	shan	shān
shán	ㄕㄢˊ	ʂan˧˥	shan²	sharn	sharn	shán	shán	shán
shǎn	ㄕㄢˇ	ʂan˨˩˦	shan³	shaan	shaan	shǎn	shǎn	shǎn
shàn	ㄕㄢˋ	ʂan˥˩	shan⁴	shann	shahn	shàn	shàn	shàn
shan	˙ㄕㄢ	ʂan	shan⁵	.shan	'shan	shan	shån	shan
shāng	ㄕㄤ	ʂɑŋ˥	shang¹	shang	shang	shāng	shang	shāng
sháng	ㄕㄤˊ	ʂɑŋ˧˥	shang²	sharng	sharng	sháng	sháng	sháng
shǎng	ㄕㄤˇ	ʂɑŋ˨˩˦	shang³	shaang	shaang	shǎng	shǎng	shǎng
shàng	ㄕㄤˋ	ʂɑŋ˥˩	shang⁴	shanq	shahng	shàng	shàng	shàng
shang	˙ㄕㄤ	ʂɑŋ	shang⁵	.shang	'shang	shang	shång	shang
shāo	ㄕㄠ	ʂɑʊ˥	shao¹	shau	shau	shāu	shao	shāu
sháo	ㄕㄠˊ	ʂɑʊ˧˥	shao²	shaur	shaur	sháu	sháo	sháu
shǎo	ㄕㄠˇ	ʂɑʊ˨˩˦	shao³	shao	shaau	shǎu	shǎo	shǎu
shào	ㄕㄠˋ	ʂɑʊ˥˩	shao⁴	shaw	shauh	shàu	shào	shàu
shao	˙ㄕㄠ	ʂɑʊ	shao⁵	.shau	'shau	shau	shåo	shau
shē	ㄕㄜ	ʂɤ˥	she¹	she	she	shē	she	shē
shé	ㄕㄜˊ	ʂɤ˧˥	she²	sher	sher	shé	shé	shé
shě	ㄕㄜˇ	ʂɤ˨˩˦	she³	shee	shee	shě	shě	shě
shè	ㄕㄜˋ	ʂɤ˥˩	she⁴	sheh	sheh	shè	shè	shè
she	˙ㄕㄜ	ʂɤ	she⁵	.she	'she	she	she̊	she
shēi	ㄕㄟ	ʂeɪ˥	shei¹	shei	shei	shēi	shei	shēi
shéi	ㄕㄟˊ	ʂeɪ˧˥	shei²	sheir	sheir	shéi	shéi	shéi
shěi	ㄕㄟˇ	ʂeɪ˨˩˦	shei³	sheei	sheii	shěi	shěi	shěi
shèi	ㄕㄟˋ	ʂeɪ˥˩	shei⁴	shey	sheih	shèi	shèi	shèi
shei	˙ㄕㄟ	ʂeɪ	shei⁵	.shei	'shei	shei	she̊i	shei
shēn	ㄕㄣ	ʂən˥	shen¹	shen	shen	shēn	shen	shēn
shén	ㄕㄣˊ	ʂən˧˥	shen²	shern	shern	shén	shén	shén
shěn	ㄕㄣˇ	ʂən˨˩˦	shen³	sheen	sheen	shěn	shěn	shěn
shèn	ㄕㄣˋ	ʂən˥˩	shen⁴	shenn	shehn	shèn	shèn	shèn
shen	˙ㄕㄣ	ʂən	shen⁵	.shen	'shen	shen	she̊n	shen
shēng	ㄕㄥ	ʂɤŋ˥	sheng¹	sheng	sheng	shēng	sheng	shēng
shéng	ㄕㄥˊ	ʂɤŋ˧˥	sheng²	sherng	sherng	shéng	shéng	shéng
shěng	ㄕㄥˇ	ʂɤŋ˨˩˦	sheng³	sheeng	sheeng	shěng	shěng	shěng
shèng	ㄕㄥˋ	ʂɤŋ˥˩	sheng⁴	shenq	shehng	shèng	shèng	shèng
sheng	˙ㄕㄥ	ʂɤŋ	sheng⁵	.sheng	'sheng	sheng	she̊ng	sheng
shī	ㄕ	ʂɻ̍˥	shih¹	shy	shy	shr̄	shih	shr̄
shí	ㄕˊ	ʂɻ̍˧˥	shih²	shyr	shyr	shŕ	shíh	shŕ
shǐ	ㄕˇ	ʂɻ̍˨˩˦	shih³	shyy	shyy	shř	shǐh	shř
shì	ㄕˋ	ʂɻ̍˥˩	shih⁴	shyh	shyh	shr̀	shìh	shr̀
shi	˙ㄕ	ʂɻ̍	shih⁵	.shy	'shy	shr	shi̊h	shr
shōu	ㄕㄡ	ʂoʊ˥	shou¹	shou	shou	shōu	shou	shōu
shóu	ㄕㄡˊ	ʂoʊ˧˥	shou²	shour	shour	shóu	shóu	shóu
shǒu	ㄕㄡˇ	ʂoʊ˨˩˦	shou³	shoou	shoou	shǒu	shǒu	shǒu
shòu	ㄕㄡˋ	ʂoʊ˥˩	shou⁴	show	shouh	shòu	shòu	shòu
shou	˙ㄕㄡ	ʂoʊ	shou⁵	.shou	'shou	shou	sho̊u	shou
shū	ㄕㄨ	ʂu˥	shu¹	shu	shu	shū	shu	shū
shú	ㄕㄨˊ	ʂu˧˥	shu²	shwu	shur	shú	shú	shú
shǔ	ㄕㄨˇ	ʂu˨˩˦	shu³	shuu	shuu	shǔ	shǔ	shǔ
shù	ㄕㄨˋ	ʂu˥˩	shu⁴	shuh	shuh	shù	shù	shù
shu	˙ㄕㄨ	ʂu	shu⁵	.shu	'shu	shu	shů	shu
shuā	ㄕㄨㄚ	ʂwa˥	shua¹	shua	shua	shuā	shua	shwā
shuá	ㄕㄨㄚˊ	ʂwa˧˥	shua²	shwa	shuar	shuá	shuá	shwá
shuǎ	ㄕㄨㄚˇ	ʂwa˨˩˦	shua³	shoa	shuaa	shuǎ	shuǎ	shwǎ
shuà	ㄕㄨㄚˋ	ʂwa˥˩	shua⁴	shuah	shuah	shuà	shuà	shwà
shua	˙ㄕㄨㄚ	ʂwa	shua⁵	.shua	'shua	shua	shuå	shwa
shuāi	ㄕㄨㄞ	ʂwaɪ˥	shuai¹	shuai	shuai	shuāi	shuai	shwāi
shuái	ㄕㄨㄞˊ	ʂwaɪ˧˥	shuai²	shwai	shuair	shuái	shuái	shwái
shuǎi	ㄕㄨㄞˇ	ʂwaɪ˨˩˦	shuai³	shoai	shuaii	shuǎi	shuǎi	shwǎi
shuài	ㄕㄨㄞˋ	ʂwaɪ˥˩	shuai⁴	shuay	shuaih	shuài	shuài	shwài
shuai	˙ㄕㄨㄞ	ʂwaɪ	shuai⁵	.shuai	'shuai	shuai	shuåi	shwai
shuān	ㄕㄨㄢ	ʂwan˥	shuan¹	shuan	shuan	shuān	shuan	shwān
shuán	ㄕㄨㄢˊ	ʂwan˧˥	shuan²	shwan	shuarn	shuán	shuán	shwán
shuǎn	ㄕㄨㄢˇ	ʂwan˨˩˦	shuan³	shoan	shuaan	shuǎn	shuǎn	shwǎn
shuàn	ㄕㄨㄢˋ	ʂwan˥˩	shuan⁴	shuann	shuahn	shuàn	shuàn	shwàn
shuan	˙ㄕㄨㄢ	ʂwan	shuan⁵	.shuan	'shuan	shuan	shuån	shwan
shuāng	ㄕㄨㄤ	ʂwɑŋ˥	shuang¹	shuang	shuang	shuāng	shuang	shwāng
shuáng	ㄕㄨㄤˊ	ʂwɑŋ˧˥	shuang²	shwang	shuarng	shuáng	shuáng	shwáng
shuǎng	ㄕㄨㄤˇ	ʂwɑŋ˨˩˦	shuang³	shoang	shuaang	shuǎng	shuǎng	shwǎng
shuàng	ㄕㄨㄤˋ	ʂwɑŋ˥˩	shuang⁴	shuanq	shuahng	shuàng	shuàng	shwàng
shuang	˙ㄕㄨㄤ	ʂwɑŋ	shuang⁵	.shuang	'shuang	shuang	shuång	shwang
shuī	ㄕㄨㄟ	ʂweɪ˥	shui¹	shuei	shui	shuēi	shuei	shwēi
shuí	ㄕㄨㄟˊ	ʂweɪ˧˥	shui²	shwei	shuir	shuéi	shuéi	shwéi
shuǐ	ㄕㄨㄟˇ	ʂweɪ˨˩˦	shui³	shoei	shuii	shuěi	shuěi	shwěi
shuì	ㄕㄨㄟˋ	ʂweɪ˥˩	shui⁴	shuey	shuih	shuèi	shuèi	shwèi
shui	˙ㄕㄨㄟ	ʂweɪ	shui⁵	.shuei	'shui	shuei	shue̊i	shwei
shūn	ㄕㄨㄣ	ʂwən˥	shun¹	shuen	shun	shuēn	shun	shwūn
shún	ㄕㄨㄣˊ	ʂwən˧˥	shun²	shwen	shurn	shuén	shún	shwún
shǔn	ㄕㄨㄣˇ	ʂwən˨˩˦	shun³	shoen	shuun	shuěn	shǔn	shwǔn
shùn	ㄕㄨㄣˋ	ʂwən˥˩	shun⁴	shuenn	shuhn	shuèn	shùn	shwùn
shun	˙ㄕㄨㄣ	ʂwən	shun⁵	.shuen	'shun	shuen	shůn	shwun
shuō	ㄕㄨㄛ	ʂwo˥	shuo¹	shuo	shuo	shuō	shuo	shwō
shuó	ㄕㄨㄛˊ	ʂwo˧˥	shuo²	shwo	shuor	shuó	shuó	shwó
shuǒ	ㄕㄨㄛˇ	ʂwo˨˩˦	shuo³	shuoo	shuoo	shuǒ	shuǒ	shwǒ
shuò	ㄕㄨㄛˋ	ʂwo˥˩	shuo⁴	shuoh	shuoh	shuò	shuò	shwò
shuo	˙ㄕㄨㄛ	ʂwo	shuo⁵	.shuo	'shuo	shuo	shuo̊	shwo
sī	ㄙ	sɹ̩˥	ssu¹	sy	sy	sz̄	sih	sz̄
sí	ㄙˊ	sɹ̩˧˥	ssu²	syr	syr	sź	síh	sź
sǐ	ㄙˇ	sɹ̩˨˩˦	ssu³	syy	syy	sž	sǐh	sž
sì	ㄙˋ	sɹ̩˥˩	ssu⁴	syh	syh	sz̀	sìh	sz̀
si	˙ㄙ	sɹ̩	ssu⁵	.sy	'sy	sz	si̊h	sz
sōng	ㄙㄨㄥ	sʊŋ˥	sung¹	song	sung	sūng	song	sūng
sóng	ㄙㄨㄥˊ	sʊŋ˧˥	sung²	sorng	surng	súng	sóng	súng
sǒng	ㄙㄨㄥˇ	sʊŋ˨˩˦	sung³	soong	suung	sǔng	sǒng	sǔng
sòng	ㄙㄨㄥˋ	sʊŋ˥˩	sung⁴	sonq	suhng	sùng	sòng	sùng
song	˙ㄙㄨㄥ	sʊŋ	sung⁵	.song	'song	sung	so̊ng	sung
sōu	ㄙㄡ	soʊ˥	sou¹	sou	sou	sōu	sou	sōu
sóu	ㄙㄡˊ	soʊ˧˥	sou²	sour	sour	sóu	sóu	sóu
sǒu	ㄙㄡˇ	soʊ˨˩˦	sou³	soou	soou	sǒu	sǒu	sǒu
sòu	ㄙㄡˋ	soʊ˥˩	sou⁴	sow	souh	sòu	sòu	sòu
sou	˙ㄙㄡ	soʊ	sou⁵	.sou	'sou	sou	so̊u	sou
sū	ㄙㄨ	su˥	su¹	su	su	sū	su	sū
sú	ㄙㄨˊ	su˧˥	su²	swu	sur	sú	sú	sú
sǔ	ㄙㄨˇ	su˨˩˦	su³	suu	suu	sǔ	sǔ	sǔ
sù	ㄙㄨˋ	su˥˩	su⁴	suh	suh	sù	sù	sù
su	˙ㄙㄨ	su	su⁵	.su	'su	su	sů	su
suān	ㄙㄨㄢ	swan˥	suan¹	suan	suan	suān	suan	swān
suán	ㄙㄨㄢˊ	swan˧˥	suan²	swan	suarn	suán	suán	swán
suǎn	ㄙㄨㄢˇ	swan˨˩˦	suan³	soan	suaan	suǎn	suǎn	swǎn
suàn	ㄙㄨㄢˋ	swan˥˩	suan⁴	suann	suahn	suàn	suàn	swàn
suan	˙ㄙㄨㄢ	swan	suan⁵	.suan	'suan	suan	suån	swan
suī	ㄙㄨㄟ	sweɪ˥	sui¹	suei	sui	suēi	suei	swēi
suí	ㄙㄨㄟˊ	sweɪ˧˥	sui²	swei	suir	suéi	suéi	swéi
suǐ	ㄙㄨㄟˇ	sweɪ˨˩˦	sui³	soei	suii	suěi	suěi	swěi
suì	ㄙㄨㄟˋ	sweɪ˥˩	sui⁴	suey	suih	suèi	suèi	swèi
sui	˙ㄙㄨㄟ	sweɪ	sui⁵	.suei	'sui	suei	sue̊i	swei
sūn	ㄙㄨㄣ	swən˥	sun¹	suen	sun	suēn	sun	swēn
sún	ㄙㄨㄣˊ	swən˧˥	sun²	swen	surn	suén	sún	swén
sǔn	ㄙㄨㄣˇ	swən˨˩˦	sun³	soen	suun	suěn	sǔn	swěn
sùn	ㄙㄨㄣˋ	swən˥˩	sun⁴	suenn	suhn	suèn	sùn	swèn
sun	˙ㄙㄨㄣ	swən	sun⁵	.suen	'sun	suen	sůn	swen
suō	ㄙㄨㄛ	swo˥	so¹	suo	suo	suō	suo	swō
suó	ㄙㄨㄛˊ	swo˧˥	so²	swo	suor	suó	suó	swó
suǒ	ㄙㄨㄛˇ	swo˨˩˦	so³	suoo	suoo	suǒ	suǒ	swǒ
suò	ㄙㄨㄛˋ	swo˥˩	so⁴	suoh	suoh	suò	suò	swò
suo	˙ㄙㄨㄛ	swo	so⁵	.suo	'suo	suo	suo̊	swo
tā	ㄊㄚ	tʰa˥	t'a¹	ta	ta	tā	ta	tā
tá	ㄊㄚˊ	tʰa˧˥	t'a²	tar	tar	tá	tá	tá
tǎ	ㄊㄚˇ	tʰa˨˩˦	t'a³	taa	taa	tǎ	tǎ	tǎ
tà	ㄊㄚˋ	tʰa˥˩	t'a⁴	tah	tah	tà	tà	tà
ta	˙ㄊㄚ	tʰa	t'a⁵	.ta	'ta	ta	tå	ta
tāi	ㄊㄞ	tʰaɪ˥	t'ai¹	tai	tai	tāi	tai	tāi
tái	ㄊㄞˊ	tʰaɪ˧˥	t'ai²	tair	tair	tái	tái	tái
tǎi	ㄊㄞˇ	tʰaɪ˨˩˦	t'ai³	tae	taii	tǎi	tǎi	tǎi
tài	ㄊㄞˋ	tʰaɪ˥˩	t'ai⁴	tay	taih	tài	tài	tài
tai	˙ㄊㄞ	tʰaɪ	t'ai⁵	.tai	'tai	tai	tåi	tai
tān	ㄊㄢ	tʰan˥	t'an¹	tan	tan	tān	tan	tān
tán	ㄊㄢˊ	tʰan˧˥	t'an²	tarn	tarn	tán	tán	tán
tǎn	ㄊㄢˇ	tʰan˨˩˦	t'an³	taan	taan	tǎn	tǎn	tǎn
tàn	ㄊㄢˋ	tʰan˥˩	t'an⁴	tann	tahn	tàn	tàn	tàn
tan	˙ㄊㄢ	tʰan	t'an⁵	.tan	'tan	tan	tån	tan
tāng	ㄊㄤ	tʰɑŋ˥	t'ang¹	tang	tang	tāng	tang	tāng
táng	ㄊㄤˊ	tʰɑŋ˧˥	t'ang²	tarng	tarng	táng	táng	táng
tǎng	ㄊㄤˇ	tʰɑŋ˨˩˦	t'ang³	taang	taang	tǎng	tǎng	tǎng
tàng	ㄊㄤˋ	tʰɑŋ˥˩	t'ang⁴	tanq	tahng	tàng	tàng	tàng
tang	˙ㄊㄤ	tʰɑŋ	t'ang⁵	.tang	'tang	tang	tång	tang
tāo	ㄊㄠ	tʰɑʊ˥	t'ao¹	tau	tau	tāu	tao	tāu
táo	ㄊㄠˊ	tʰɑʊ˧˥	t'ao²	taur	taur	táu	táo	táu
tǎo	ㄊㄠˇ	tʰɑʊ˨˩˦	t'ao³	tao	taau	tǎu	tǎo	tǎu
tào	ㄊㄠˋ	tʰɑʊ˥˩	t'ao⁴	taw	tauh	tàu	tào	tàu
tao	˙ㄊㄠ	tʰɑʊ	t'ao⁵	.tau	'tau	tau	tåo	tau
tē	ㄊㄜ	tʰɤ˥	t'e¹	te	te	tē	te	tē
té	ㄊㄜˊ	tʰɤ˧˥	t'e²	ter	ter	té	té	té
tě	ㄊㄜˇ	tʰɤ˨˩˦	t'e³	tee	tee	tě	tě	tě
tè	ㄊㄜˋ	tʰɤ˥˩	t'e⁴	teh	teh	tè	tè	tè
te	˙ㄊㄜ	tʰɤ	t'e⁵	.te	'te	te	te̊	te
tēi	ㄊㄟ	tʰeɪ˥	t'ei¹	thei	tei	tēi	tei	tēi
téi	ㄊㄟˊ	tʰeɪ˧˥	t'ei²	tei	teir	téi	téi	téi
těi	ㄊㄟˇ	tʰeɪ˨˩˦	t'ei³	teei	teii	těi	těi	těi
tèi	ㄊㄟˋ	tʰeɪ˥˩	t'ei⁴	tey	teih	tèi	tèi	tèi
tei	˙ㄊㄟ	tʰeɪ	t'ei⁵	.thei	'tei	tei	te̊i	tei
tēng	ㄊㄥ	tʰɤŋ˥	t'eng¹	teng	teng	tēng	teng	tēng
téng	ㄊㄥˊ	tʰɤŋ˧˥	t'eng²	terng	terng	téng	téng	téng
těng	ㄊㄥˇ	tʰɤŋ˨˩˦	t'eng³	teeng	teeng	těng	těng	těng
tèng	ㄊㄥˋ	tʰɤŋ˥˩	t'eng⁴	tenq	tehng	tèng	tèng	tèng
teng	˙ㄊㄥ	tʰɤŋ	t'eng⁵	.teng	'teng	teng	te̊ng	teng
tī	ㄊㄧ	tʰi˥	t'i¹	ti	ti	tī	ti	tī
tí	ㄊㄧˊ	tʰi˧˥	t'i²	tyi	tir	tí	tí	tí
tǐ	ㄊㄧˇ	tʰi˨˩˦	t'i³	tii	tii	tǐ	tǐ	tǐ
tì	ㄊㄧˋ	tʰi˥˩	t'i⁴	tih	tih	tì	tì	tì
ti	˙ㄊㄧ	tʰi	t'i⁵	.ti	'ti	ti	ti̊	ti
tiān	ㄊㄧㄢ	tʰjɛn˥	t'ien¹	tian	tian	tiān	tian	tyān
tián	ㄊㄧㄢˊ	tʰjɛn˧˥	t'ien²	tyan	tiarn	tián	tián	tyán
tiǎn	ㄊㄧㄢˇ	tʰjɛn˨˩˦	t'ien³	tean	tiaan	tiǎn	tiǎn	tyǎn
tiàn	ㄊㄧㄢˋ	tʰjɛn˥˩	t'ien⁴	tiann	tiahn	tiàn	tiàn	tyàn
tian	˙ㄊㄧㄢ	tʰjɛn	t'ien⁵	.tian	'tian	tian	tiån	tyan
tiāo	ㄊㄧㄠ	tʰjɑʊ˥	t'iao¹	tiau	tiau	tiāu	tiao	tyāu
tiáo	ㄊㄧㄠˊ	tʰjɑʊ˧˥	t'iao²	tyau	tiaur	tiáu	tiáo	tyáu
tiǎo	ㄊㄧㄠˇ	tʰjɑʊ˨˩˦	t'iao³	teau	tiaau	tiǎu	tiǎo	tyǎu
tiào	ㄊㄧㄠˋ	tʰjɑʊ˥˩	t'iao⁴	tiaw	tiauh	tiàu	tiào	tyàu
tiao	˙ㄊㄧㄠ	tʰjɑʊ	t'iao⁵	.tiau	'tiau	tiau	tiåo	tyau
tiē	ㄊㄧㄝ	tʰjɛ˥	t'ieh¹	tie	tie	tiē	tie	tyē
tié	ㄊㄧㄝˊ	tʰjɛ˧˥	t'ieh²	tye	tier	tié	tié	tyé
tiě	ㄊㄧㄝˇ	tʰjɛ˨˩˦	t'ieh³	tiee	tiee	tiě	tiě	tyě
tiè	ㄊㄧㄝˋ	tʰjɛ˥˩	t'ieh⁴	tieh	tieh	tiè	tiè	tyè
tie	˙ㄊㄧㄝ	tʰjɛ	t'ieh⁵	.tie	'tie	tie	tie̊	tye
tīng	ㄊㄧㄥ	tʰiŋ˥	t'ing¹	ting	ting	tīng	ting	tīng
tíng	ㄊㄧㄥˊ	tʰiŋ˧˥	t'ing²	tyng	tirng	tíng	tíng	tíng
tǐng	ㄊㄧㄥˇ	tʰiŋ˨˩˦	t'ing³	tiing	tiing	tǐng	tǐng	tǐng
